"
";Fast Track;;Intake;Code - Abbraviation;University Name;CSCA;Major (English-Taught);PIC;Seats;Remaining Seats;;;Location;Best Ranking;Special Title;Deadline;Mini Marks ;Oiginal tuition (RMB/year);Original Dorm (RMB/year);Rent outside the dorm;Scholarship Details;Self Introduction Video;Interview;Guardian Letter;Age limit;English;Docs List;Dorm link;Specail requirments;offer mail;;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;International Organizations and Global Governance;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Sociology;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Energy and Power Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Big Data Management and Application;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Digital Economy;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Traffic Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Digital Media Art;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Product Design;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Building Environment and Energy Application Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Urban and Rural Planning;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Intelligent Manufacturing Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Robot Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Environmental Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Chemical Engineering and Technology;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Automation;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Integrated Circuit Design and Integrated System;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Communication Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Electronic Information Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Electrical;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Electrical Engineering and Automation;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Welding Technology and Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Materials Science and Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Art;Yes;Hot __;September;ECUST;East China University of Science and Technology;Yes;Visual Communication Design(Digital Design);Lisa;;;;;;Shanghai;44-SHANGHAI RANKING;211, Double First-class;15th April;12/20_no failing grades in mathematics and  physics;"Single degree_55000
Double degre_70000
";Single room: 80 or 110/day;Allowed;"Type A:Full refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type B:RMB20000 refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type C:Free on-campus dorm fees for the first year
Type D:Cover 50% on-campus dorm fees for the first year
Type E:Cover 2 months on-campus dorm fees for the first year";Yes;Yes;Yes;17-35;EFFST, Duolingo, TOEFL, IELTS;ECUST;ECUST;;;;;;;;;;;;;;;
Artificial Intelligence AI;Yes;Hot __;September;ECUST;East China University of Science and Technology;Yes;Artificial Intelligence;Lisa;;;;;;Shanghai;44-SHANGHAI RANKING;211, Double First-class;15th April;12/20_no failing grades in mathematics and  physics;"Single degree_55000
Double degre_70000
";Single room: 80 or 110/day;Allowed;"Type A:Full refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type B:RMB20000 refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type C:Free on-campus dorm fees for the first year
Type D:Cover 50% on-campus dorm fees for the first year
Type E:Cover 2 months on-campus dorm fees for the first year";Yes;Yes;Yes;17-35;EFFST, Duolingo, TOEFL, IELTS;ECUST;ECUST;;;;;;;;;;;;;;;
Chemical;Yes;Hot __;September;ECUST;East China University of Science and Technology;Yes;Chemical Engineering and Technology;Lisa;;;;;;Shanghai;44-SHANGHAI RANKING;211, Double First-class;15th April;12/20_no failing grades in mathematics and  physics;"Single degree_55000
Double degre_70000
";Single room: 80 or 110/day;Allowed;"Type A:Full refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type B:RMB20000 refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type C:Free on-campus dorm fees for the first year
Type D:Cover 50% on-campus dorm fees for the first year
Type E:Cover 2 months on-campus dorm fees for the first year";Yes;Yes;Yes;17-35;EFFST, Duolingo, TOEFL, IELTS;ECUST;ECUST;;;;;;;;;;;;;;;
Bio Eng.;Yes;Hot __;September;ECUST;East China University of Science and Technology;Yes;Bioengineering (Biopharmaceutical);Lisa;;;;;;Shanghai;44-SHANGHAI RANKING;211, Double First-class;15th April;12/20_no failing grades in mathematics and  physics;"Single degree_55000
Double degre_70000
";Single room: 80 or 110/day;Allowed;"Type A:Full refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type B:RMB20000 refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type C:Free on-campus dorm fees for the first year
Type D:Cover 50% on-campus dorm fees for the first year
Type E:Cover 2 months on-campus dorm fees for the first year";Yes;Yes;Yes;17-35;EFFST, Duolingo, TOEFL, IELTS;ECUST;ECUST;;;;;;;;;;;;;;;
Business;Yes;Hot __;September;ECUST;East China University of Science and Technology;Yes;International Economics and Trade;Lisa;;;;;;Shanghai;44-SHANGHAI RANKING;211, Double First-class;15th April;12/20_no failing grades in mathematics and  physics;"Single degree_55000
Double degre_70000
";Single room: 80 or 110/day;Allowed;"Type A:Full refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type B:RMB20000 refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type C:Free on-campus dorm fees for the first year
Type D:Cover 50% on-campus dorm fees for the first year
Type E:Cover 2 months on-campus dorm fees for the first year";Yes;Yes;Yes;17-35;EFFST, Duolingo, TOEFL, IELTS;ECUST;ECUST;;;;;;;;;;;;;;;
Artificial Intelligence AI;Yes;Hot __;September;ECUST;East China University of Science and Technology;Yes;Intelligent Manufacturing Engineering;Lisa;;;;;;Shanghai;44-SHANGHAI RANKING;211, Double First-class;15th April;12/20_no failing grades in mathematics and  physics;"Single degree_55000
Double degre_70000
";Single room: 80 or 110/day;Allowed;"Type A:Full refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type B:RMB20000 refund of first year tuition fees_Free on-campus dorm fees for the first year,Insurance for the first year,Living stipend:2,500RMB/month(total 30,000 RMB, disbursed in two installments)
Type C:Free on-campus dorm fees for the first year
Type D:Cover 50% on-campus dorm fees for the first year
Type E:Cover 2 months on-campus dorm fees for the first year";Yes;Yes;Yes;17-35;EFFST, Duolingo, TOEFL, IELTS;ECUST;ECUST;;;;;;;;;;;;;;;
Computer;Yes;Hot __;September;OUC;Ocean University of China;Yes;Computer Science and Technology;Yuki;;3;3;;;Qingdao, Shandong;57-SHANGHAI RANKING; 985/211/Double First-Class;April 10th;"Type A: all grades 16/20
Type B: all grades 14/20";23000 RMB/year;"Double room:5500 RMB/semester ; 11000 RMB/year
Single room:11000 RMB/semester ; 22000 RMB/year";Allowed;"Type A: Free tuition and Free dorm fee (unconditional)
Type B: Free tuition (unconditional)";Yes;No;No;17-30;Duolingo, TOEFL, IELTS;B2613-OUC-Ocean University of China.pdf;OUC;;;;;;;;;;;;;;;
Business;Yes;Hot __;September;OUC;Ocean University of China;Yes;International Economics and Trade;Yuki;;2;2;;;Qingdao, Shandong;57-SHANGHAI RANKING; 985/211/Double First-Class;April 10th;"Type A: all grades 16/20
Type B: all grades 14/20";23000 RMB/year;"Double room:5500 RMB/semester ; 11000 RMB/year
Single room:11000 RMB/semester ; 22000 RMB/year";Allowed;"Type A: Free tuition and Free dorm fee (unconditional)
Type B: Free tuition (unconditional)";Yes;No;No;17-30;Duolingo, TOEFL, IELTS;B2613-OUC-Ocean University of China.pdf;OUC;;;;;;;;;;;;;;;
Pharmacy;Yes;Hot __;March, September;SDFMU;Shandong First Medical University;No; Pharmacy;Lisa;;40;;;;Taian, Shandong;195-US NEWS RANKING;N/A;"30th Dec
30th July";60%-70% or above;15000;RMB3400/year(Double room);Not Allowed;"Type A:Cover 15000RMB/year for tuition fee
Type B:Cover 5000RMB/year for tuition fee";Yes;Yes;No;24;TOEFL, IELTS;SDFMU;SDFMU;"IELTS≥ 6.0
TOEFL≥70";;;;;;;;;;;;;;
Nursing;Yes;Hot __;March, September;SDFMU;Shandong First Medical University;No;Nursing;Lisa;;40;;;;Taian, Shandong;195-US NEWS RANKING;N/A;"30th Dec
30th July";60%-70% or above;15000;RMB3400/year(Double room);Not Allowed;"Type A:Cover 15000RMB/year for tuition fee
Type B:Cover 5000RMB/year for tuition fee";Yes;Yes;No;24;TOEFL, IELTS;SDFMU;SDFMU;"IELTS≥ 6.0
TOEFL≥70";;;;;;;;;;;;;;
Others;Yes;Hot __;March, September;SDFMU;Shandong First Medical University;No;Stomatology;Lisa;;20;;;;Taian, Shandong;195-US NEWS RANKING;N/A;"30th Dec
30th July";60%-70% or above;20000;RMB3400/year(Double room);Not Allowed;"Type A:Cover 15000RMB/year for tuition fee
Type B:Cover 5000RMB/year for tuition fee";Yes;Yes;No;24;TOEFL, IELTS;SDFMU;SDFMU;"IELTS≥ 6.0
TOEFL≥70";;;;;;;;;;;;;;
Others;Yes;Hot __;March, September;SDFMU;Shandong First Medical University;No;Biotechnology;Lisa;;40;;;;Taian, Shandong;195-US NEWS RANKING;N/A;"30th Dec
30th July";60%-70% or above;15000;RMB3400/year(Double room);Not Allowed;"Type A:Cover 15000RMB/year for tuition fee
Type B:Cover 5000RMB/year for tuition fee";Yes;Yes;No;24;TOEFL, IELTS;SDFMU;SDFMU;"IELTS≥ 6.0
TOEFL≥70";;;;;;;;;;;;;;
Business;Yes;Hot __;September;SCUT;South China University of Technology;Yes;International Economics and Trade;Vicky;;;;;;Guangzhou, Guangdong;16-US NEWS RANKING;"985 Project 
211 
Double First-Class";30th Jun.;10/20  No failing grades;26000;"20000(Single room)                  
10000(Double room)
5000(Quad room)";Allowed;"Type A: cover 100% tuition 
Type B: cover 50% tuition
Type C: cover 50% tuition for two years
Type D:10000";No;No;No;25;TOEFL, IELTS, Duolingo;B2608-SCUT-South China University of Technology.docx;SCUT;"TOEFL IBT≥ 80
IELTS≥ 6,0
Duolingo ≥112";;;;;;;;;;;;;;
